N,defector_ratio,seed,R_mean_run,Sbar_mean_run
20,0.4900000000000001,46,0.059281531266845766,0.8834344512709185
20,0.4900000000000001,47,0.05612714005658048,0.8904701713028677
20,0.4900000000000001,48,0.058871810220026806,0.8896891853613776
20,0.4900000000000001,49,0.05863994458685896,0.8930118875037049
20,0.4900000000000001,50,0.06283700726283153,0.8856769054970166
20,0.4900000000000001,51,0.06438654368208302,0.893942061002785
20,0.5100000000000001,42,0.061720906087217704,0.8733019149506828
20,0.5100000000000001,43,0.06317917055755597,0.880328248456475
20,0.5100000000000001,44,0.0652669159319457,0.8731798434542125
20,0.5100000000000001,45,0.05619795184479244,0.88953069194474
20,0.5100000000000001,46,0.06304714520239053,0.8740220328847992
20,0.5100000000000001,47,0.059660622323733196,0.880911336404176
20,0.5100000000000001,48,0.061900303802595064,0.8798051139599257
20,0.5100000000000001,49,0.06077645063735826,0.8857601459506174
20,0.5100000000000001,50,0.06551155079346238,0.8766163416567488
20,0.5100000000000001,51,0.06650545045053428,0.8857284057532996
20,0.5300000000000001,42,0.0644046707619246,0.8631181979596313
20,0.5300000000000001,43,0.0657972701349981,0.8706431295621871
20,0.5300000000000001,44,0.06784324301386707,0.8636442983975697
20,0.5300000000000001,45,0.05766506879879655,0.8806306308051537
20,0.5300000000000001,46,0.06581535921595086,0.8636990737872046
20,0.5300000000000001,47,0.06259884423192691,0.8714873906377665
20,0.5300000000000001,48,0.06481208646566948,0.8705190253424608
20,0.5300000000000001,49,0.06333252295563063,0.8767654409078605
20,0.5300000000000001,50,0.0682043649386054,0.8671260483566415
20,0.5300000000000001,51,0.06984432356119055,0.8764952359756424
20,0.5500000000000002,42,0.06676065882262021,0.8525250649371209
20,0.5500000000000002,43,0.06858943348846755,0.8600199153322353
20,0.5500000000000002,44,0.06991420864081262,0.8537168536764383
20,0.5500000000000002,45,0.06092106335611569,0.8708420972715473
20,0.5500000000000002,46,0.06948701043036405,0.8543470284272494
20,0.5500000000000002,47,0.06499476367974438,0.8615914730217358
20,0.5500000000000002,48,0.06689861032247678,0.8600778826880675
20,0.5500000000000002,49,0.06617929824834427,0.8661403502574223
20,0.5500000000000002,50,0.07137678635913988,0.85591747836328
20,0.5500000000000002,51,0.07274821499065894,0.8666682392109468
40,0.35,42,0.03679758604065993,0.9370033656983782
40,0.35,43,0.037250796601288036,0.9317397951825961
40,0.35,44,0.03469857322491632,0.9367968190998509
40,0.35,45,0.03479355313870925,0.9330221189538227
